qn,ans
he s on to something bigger .,listen to me . whatever you re doing stop . pull out .
why tell me ?,you know something .
when ?,you re very direct mr . felson .
doesn t want you thinking too much huh ?,no .
how do you feel about that ?,i feel . . . okay .
so you two dig up dinosaurs ?,try to !
i guess it isn t .,still all we have to do is ask hal .
okay i gotta go .,i m stopping by later . i m worried about you . bye .
it doesn t matter . it only took me an hour to write .,really ? that s remarkable .
hello .,hello sam this is dr . marcia fieldstone on network america .
it s always john .,still wants to move out ?
yeah . on my way home now .,well i do declare ! i baptized you son .
you know how they are . . . sex . . .,then just say he was sixty years old .
no doubt you ve heard the rumors .,i take no account of gossip your highness .
make sure it s elevated . . .,uh huh .
she was going through my pocketbook !,they re persecuted enough !
happy birthday wanda june !,we can take off the wanda june with a butter knife .
you re a true u friend u .,i m not . believe me . u i m u scum .
you sure weren t acting like the pete dayton i ve always known .,whatiya mean ?
the one where you re that jewel thief .,i never played a jewel thief .
would you say he was boring then ?,yeah . i suppose he is .
shit ! !,it s my subway defense system .
you re wrong . look at his face .,one cannot love and kill .
yes .,he has come for lyssa .
you wouldn t like razinin .,he s a bad man . sends people to siberia !
okay . . .is that the good thing or the bad thing ?,because i can t hurt anyone like this ever again .
right lovers of the world unite !,and we won t stretch up our arms . . .
you re going to miss the train .,no i m not .
i just told you .,you did but you didn t .
and the world the whole world .,burn it all .
and i was wondering if i could buy you a drink or something,where are you ?
rats ! i ve lost number three .,what happened ted ? what went wrong ?
aces full .,and me coming in with two pair
can we can we go ?,no !
do it ! shoot him !,kay ! ?
cameron ?,yes .
what do you want to do ?,c mon .
if i were here to hurt you i would have done it already .,that s . . .a comfort to hear .
yeah maybe .,get something on that .
then i m sure to get a brain,a heart
we need the and to finish to first and second .,fine .
truly . i saw it in the eye .,the old lady by the swamp .
she likes u both u of us . we both helped her out .,you are so full of shit . . .
shane was a friend of yours ?,he was around . . .
you still interested in that ?,i thought it wasn t for sale .
what does that do ?,well each time he comes in closer like this .
ha ha .,television or movies ?
and we re running out of that .,there s still tomorrow morning .
all right but you re missing out . chicks with dicks .,i ll read the book .
and you still think you can do something to change that .,with your help .
yeah it s fine .,god i hope that thing didn t bring down a virus .
he phoned it in .,i see .
i don t . but i got confidence in findley .,what s that supposed to mean ?
whatta you so happy about ?,i just always did like truck rides .
poached u and u over captain oveur ? over .,just poached on toast . over .
check .,and that truck is it registered in your name ?
upham ?,pass .
why you got a customer ?,the white house .
primary circuit is live .,primary trigger switch .
have you no feelings woman ?,you shut your face
ohio . . .,that bitch from . . .
your boy there,amado .
dad s disappeared !,he was there and then he wasn t !
hey we re just having a conversation .,this is private property my friend .
my man how you doing ?,i m alright . and you ?
any change ?,i hit a few . . . uh games on the way back .
i m working on a few things .,yeah i hear you bagged martin weir for mr . lovejoy .
you shut your mouth you son of a bitch !,dwayne put the gun down
i ll take the extra ticket . where s this plane going anyway ?,siam .
if you could i d,if i can . he gets jealous he
don t do that . hang up . . .call . . .,what ? i can t hear you . . .
u .s .a . is a okay .,can you remember the theme of your favorite pageant ?
who am i ?,yeah . . .who ?
give all the guys in your crew a piece of that ?,i took care of everybody .
i will good night mrs . swicker !,what s the matter with you !
you re a comedian ?,yeah .
after everything he did to you and your mom ?,after everything .
and now . . . ?,now . . .i dont . . .
oh ! that black box in our cell ?,shhhhhhh !
wait ! hold it it s on . let s go .,let s move !
i thought you might want a drink ?,i d love one but not there .
man day day is my people !,i said shut up ! now who sent you ?
i don t know what you re talkin about .,you want that indian to snap her neck ?
i m not a nice guy .,i know . it s okay .
i don t .,for christ s sake violet ! i heard you ! thin walls remember ?
alison .,say hi to zoe .
sonny,yeah . . .
from who ? toothpick charlie maybe ?,toothpick charlie ? never heard of him .
their wedding clothes .,their wedding clothes .
objection . asking witness to speculate about deceased s state of mind .,all right . what did your son u say u to that effect ?
it s not me !,who then jeremiah ? ? who ? !
lando grab it !,lower it !
but we can get one .,it s all right terry it s all right everything s all right .
nope .,can i help ?
and this is the master bedroom .,oh yeah ? where s the bed ?
yeah .,it s up to joe huh ?
we d rather not,fuck you . you may have to what ?
elliot harmsway is my uncle !,blood or dutch ?
if i didn t i wouldn t put you through it .,. . .then go .
how many ?,two main players plus three .
about what ?,let s go . do us both a favor .
it s not that simple .,maybe not . but you re not telling me everything are you ?
it s supper time . but you re not hungry are you ?,ravenous . what about you ?
no you didn t !,yes i did . i said mmmmmm !
c mon are you or aren t you ?,gee this is great .
get some sugar too for the coffee .,you know i jus can t remember when i felt so good before !
of course i do !,that means you like me !
fine . i ll say no .,they re putting me on film tomorrow .
thanks . . . i ll take it tonight .,i can t . after the show .
that ll teach you where to keep your hand .,now i know . . .
everybody wants something .,not me .
oh you ve been thinking . and ?,i may have to put the wedding on hold is all .
with all of it ?,yes you re sore at the world . come on now .
this isn t right finnegan . i ve got a contract .,hours on the clock . out and back . double for overtime .
i don t know . i m beginning to feel guilty .,what about ?
david lee it s time for you to get to bed !,goodnight .
well you ll get it skin as sensitive as yours .,how do you know if they do ?
ma am you have to open the door .,all right .
what report ?,you mean you don t know ?
thank you .,that was my clue .
i think it s gonna be a waste of time .,the police used him as a witness in this case .
is he going to be okay ?,i hope so .
yes . . .,and you know what you ask for ?
you live in that house behind the store ?,yes i do .
how s it hanging miles ?,you know me . i love it up here . how about you ?
i know . it s an awful lot .,i m surprised donna didn t say anything .
ouch ! something s biting me .,biting you ?
yes .,get lost ?
i ll drive then we ll go out in a blaze of glory !,so where would we go ?
five years .,mr . ortega . . . what is la compania ?
what happened to your hand ?,accident .
oh my god .,really . i want to know .
what do you mean ? didn t you come back here for it ?,i don t know it was stolen until i got here .
yes . sam s crazy about mary .,well she s not crazy about him .
nothing .,no c mon . . .y know i read .
you look different . i mean you look good .,you never say that .
you are the devil ! you are the instrument of satan !,shhhh ! do you want to frighten our little daughter ?
